Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
mol_85_0_1	mol_85	0.213	0.198	0.014	0.331	0.304	0.027	0.393	0.363	0.031	1419.35
mol_46_0_2	mol_46	0.212	0.193	0.019	0.368	0.329	0.039	0.356	0.318	0.038	1229.662
mol_20_0_4	mol_20	0.212	0.196	0.016	0.368	0.337	0.031	0.352	0.32	0.032	1235.626
mol_73_0_1	mol_73	0.212	0.188	0.024	0.362	0.316	0.047	0.363	0.318	0.045	1230.504
mol_73_0_0	mol_73	0.21	0.198	0.013	0.355	0.329	0.025	0.356	0.331	0.025	1281.751
mol_70_0_0	mol_70	0.208	0.178	0.03	0.358	0.299	0.059	0.364	0.305	0.059	1181.473
mol_73_0_3	mol_73	0.207	0.186	0.021	0.355	0.312	0.043	0.357	0.315	0.042	1220.753
mol_81_0_0	mol_81	0.206	0.176	0.03	0.332	0.277	0.055	0.389	0.326	0.063	1276.04
mol_40_0_1	mol_40	0.205	0.175	0.03	0.34	0.283	0.056	0.376	0.314	0.062	1223.66
mol_72_0_1	mol_72	0.203	0.183	0.02	0.345	0.307	0.038	0.353	0.313	0.04	1213.333
mol_76_0_4	mol_76	0.201	0.177	0.025	0.348	0.3	0.048	0.349	0.3	0.048	1163.518
mol_97_0_0	mol_97	0.201	0.177	0.024	0.326	0.284	0.042	0.371	0.319	0.052	1244.142
mol_19_0_0	mol_19	0.201	0.166	0.035	0.341	0.276	0.064	0.363	0.294	0.069	1142.471
mol_54_0_4	mol_54	0.2	0.179	0.021	0.333	0.292	0.041	0.359	0.316	0.043	1230.652
mol_74_0_3	mol_74	0.195	0.162	0.033	0.337	0.273	0.064	0.349	0.283	0.065	1100.122
mol_16_0_0	mol_16	0.194	0.181	0.013	0.328	0.304	0.025	0.338	0.31	0.028	1201.127
mol_38_0_2	mol_38	0.194	0.173	0.021	0.324	0.284	0.04	0.35	0.307	0.043	1194.755
mol_48_0_2	mol_48	0.188	0.163	0.024	0.32	0.274	0.046	0.337	0.288	0.049	1118.579
mol_92_0_1	mol_92	0.185	0.152	0.033	0.314	0.253	0.061	0.344	0.276	0.068	1073.957
mol_78_0_2	mol_78	0.185	0.17	0.015	0.308	0.28	0.028	0.333	0.303	0.029	1179.094
mol_85_0_3	mol_85	0.185	0.165	0.02	0.297	0.261	0.036	0.353	0.311	0.042	1217.424
mol_27_0_0	mol_27	0.179	0.163	0.016	0.299	0.269	0.03	0.326	0.293	0.033	1142.098
mol_85_0_4	mol_85	0.177	0.139	0.038	0.293	0.224	0.069	0.348	0.268	0.08	1048.763
mol_55_0_2	mol_55	0.171	0.147	0.024	0.287	0.242	0.045	0.323	0.273	0.05	1063.587
